Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       10     0.00     0.00  bool __gnu_cxx::operator!=<Move const*, std::vector<Move, std::allocator<Move> > >(__gnu_cxx::__normal_iterator<Move const*, std::vector<Move, std::allocator<Move> > > const&, __gnu_cxx::__normal_iterator<Move const*, std::vector<Move, std::allocator<Move> > > const&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >::operator+(long) const
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       10     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__ops::_Val_less_iter)
  0.00      0.00     0.00       10     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Move const*, std::vector<Move, std::allocator<Move> > >::operator++()
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Move const*, std::vector<Move, std::allocator<Move> > >::operator*() const
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<long long const*, std::vector<long long, std::allocator<long long> > >::base() const
  0.00      0.00     0.00        8     0.00     0.00  std::__new_allocator<long long>::~__new_allocator()
  0.00      0.00     0.00        8     0.00     0.00  long long* std::__niter_base<long long*>(long long*)
  0.00      0.00     0.00        8     0.00     0.00  long long* std::__niter_base<long long*, std::vector<long long, std::allocator<long long> > >(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >)
  0.00      0.00     0.00        6     0.00     0.00  bool __gnu_cxx::operator==<long long*, std::vector<long long, std::allocator<long long> > >(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > const&, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > const&)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >::difference_type __gnu_cxx::operator-<Event*, std::vector<Event, std::allocator<Event> > >(__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > > const&, __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > > const&)
  0.00      0.00     0.00        6     0.00     0.00  std::vector<Event, std::allocator<Event> >::size() const
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy_aux<true>::__destroy<long long*>(long long*, long long*)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Event, std::allocator<Event> >::_M_deallocate(Event*, unsigned long)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Event, std::allocator<Event> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_deallocate(long long*, unsigned long)
  0.00      0.00     0.00        6     0.00     0.00  std::__new_allocator<Move>::~__new_allocator()
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<long long*>(long long*, long long*)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Move const*, std::vector<Move, std::allocator<Move> > >::__normal_iterator(Move const* const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<long long const*, std::vector<long long, std::allocator<long long> > >::__normal_iterator<long long*, void>(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<long long const*, std::vector<long long, std::allocator<long long> > >::difference_type __gnu_cxx::operator-<long long const*, std::vector<long long, std::allocator<long long> > >(__gnu_cxx::__normal_iterator<long long const*, std::vector<long long, std::allocator<long long> > > const&, __gnu_cxx::__normal_iterator<long long const*, std::vector<long long, std::allocator<long long> > > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Event, std::allocator<Event> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Event, std::allocator<Event> >::capacity() const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Event, std::allocator<Event> >::max_size() const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<long long, std::allocator<long long> >::size() const
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Event, std::allocator<Event> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::~_Vector_base()
  0.00      0.00     0.00        4     0.00     0.00  std::__new_allocator<Event>::deallocate(Event*, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::__new_allocator<Event>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        4     0.00     0.00  std::__new_allocator<long long>::deallocate(long long*, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::__new_allocator<long long>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Event, std::allocator<Event> >::_S_max_size(std::allocator<Event> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Event, std::allocator<Event> >::_S_relocate(Event*, Event*, Event*, std::allocator<Event>&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Event, std::allocator<Event> >::begin()
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Event, std::allocator<Event> >::reserve(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<long long, std::allocator<long long> >::_S_max_size(std::allocator<long long> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<long long, std::allocator<long long> >::~vector()
  0.00      0.00     0.00        4     0.00     0.00  int std::__bit_width<unsigned long>(unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > std::__miter_base<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > >(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >)
  0.00      0.00     0.00        4     0.00     0.00  Event* std::__relocate_a<Event*, Event*, std::allocator<Event> >(Event*, Event*, Event*, std::allocator<Event>&)
